feature,color
fire,#E90707
water,#4D15DD
grass,#4EB26C
bug,#1F4519
normal,#E1C1A7
poison,#370155
fairy,#EF43EB
ground,tan
dark,#141111
fighting,#FF7B64
rock,saddlebrown
steel,dimgray
electric,#E4ED61
dragon,#663535
ghost,#8E9094
ice,#32BFE1
psychic,#A545A6
flying,paleturquoise
0,gray
1,gold
quadruped,red
bipedal_tailed,blue
bipedal_tailless,green
insectoid,dimgray
serpentine_body,tan
four_wings,yellow
two_wings,gainsboro
head_legs,orchid
head_base,crimson
multiple_bodies,white
several_limbs,black
head_arms,magenta
with_fins,skyblue
head_only,saddlebrown
Green,green
Yellow,yellow
Blue,blue
Brown,brown
Red,red
Purple,purple
Pink,pink
White,white
Black,black
Grey,grey
